Error Steepest,Error CG,Relative Error Steepest,Relative Error CG,Condition Number,Iterations Steepest,Iterations CG 
0.008943627216623234,0.0062912138520701145,0.9999203644104572,0.9999989157676519,1.3807427916487558,2,2 
0.008903630899163134,0.0062912138520701145,0.9999203644104572,0.9999989157676519,1.3807427916487558,2,2 
0.006978103090927956,0.0062912138520701145,0.9999203644104572,0.9999989157676519,1.3807427916487558,1,2 
0.008719191611227837,0.005938605690775786,0.9999203644104572,0.9999989157676519,1.3905402840552978,2,2 
0.008671396559532587,0.005938605690775786,0.9999203644104572,0.9999989157676519,1.3905402840552978,2,2 
0.006996054501020456,0.005938605690775786,0.9999203644104572,0.9999989157676519,1.3905402840552978,1,2 
0.008386778310437203,0.005874774085633802,0.9999203644104572,0.9999989157676519,1.3804646348669045,2,2 
0.008315506767471425,0.005874774085633802,0.9999203644104572,0.9999989157676519,1.3804646348669045,2,2 
0.007512086714663361,0.005874774085633802,0.9999203644104572,0.9999989157676519,1.3804646348669045,1,2 
0.0015305741690316316,0.007439891730940639,0.9999203644104572,0.9999989157676519,1.3872480508841498,3,2 
0.0015259413803096697,0.007439891730940639,0.9999203644104572,0.9999989157676519,1.3872480508841498,3,2 
0.007287883417048339,0.007439891730940639,0.9999203644104572,0.9999989157676519,1.3872480508841498,1,2 
0.0012157225231529884,0.006736672631839037,0.9999203644104572,0.9999989157676519,1.3856690174663848,3,2 
0.0091732433843875,0.006736672631839037,0.9999203644104572,0.9999989157676519,1.3856690174663848,2,2 
0.007200988309649259,0.006736672631839037,0.9999203644104572,0.9999989157676519,1.3856690174663848,1,2 
0.0013195990810326446,0.007201260170783917,0.9999203644104572,0.9999989157676519,1.386997720635706,3,2 
0.001297929564853163,0.007201260170783917,0.9999203644104572,0.9999989157676519,1.386997720635706,3,2 
0.007095844688570188,0.007201260170783917,0.9999203644104572,0.9999989157676519,1.386997720635706,1,2 
0.001293719333015303,0.006834865563568493,0.9999203644104572,0.9999989157676519,1.3820439424898379,3,2 
0.0012895474966080915,0.006834865563568493,0.9999203644104572,0.9999989157676519,1.3820439424898379,3,2 
0.007502168017622883,0.006834865563568493,0.9999203644104572,0.9999989157676519,1.3820439424898379,1,2 
0.0012382259304941725,0.006611552928958506,0.9999203644104572,0.9999989157676519,1.3809453822954103,3,2 
0.001226666689858436,0.006611552928958506,0.9999203644104572,0.9999989157676519,1.3809453822954103,3,2 
